ProductID,forecast,past_forecast,previous_orders,sales,store_stock,dc_intake,dc_stock
206,0,0,0,31,106,0,1
179,0,0,0,31,0,0,1
229,0,0,0,30,0,0,1
288,0,0,0,30,0,0,1
341,0,0,0,29,0,0,1
214,0,0,0,28,0,0,1
285,0,0,0,28,0,0,1
1,0,0,0,27,0,5,1
27,0,0,0,26,0,7,1
91,0,0,0,26,0,2,1
215,0,0,0,26,0,0,1
279,0,0,0,26,0,0,1
291,0,0,0,26,0,0,1
151,0,0,0,25,0,1,1
219,0,0,0,25,0,0,1
290,0,0,0,25,0,0,1
149,0,0,0,24,0,4,1
230,0,0,0,24,0,0,1
274,0,0,0,24,0,0,1
275,0,0,0,23,0,0,1
31,0,0,0,22,0,1,1
177,0,0,0,22,0,1,1
87,0,0,0,22,0,0,1
282,0,0,0,22,0,0,1
286,0,0,0,22,0,0,1
61,0,0,0,21,0,0,1
231,0,0,0,21,0,0,1
178,0,0,0,20,0,0,1
493,0,0,0,19,0,0,1
150,0,0,0,18,0,2,1
148,0,0,0,17,0,0,1
489,0,0,0,17,0,0,1
495,0,0,0,17,0,0,1
57,0,0,0,16,0,2,1
233,0,0,0,16,0,0,1
254,0,0,0,15,0,0,1
484,0,0,0,15,0,0,1
500,0,0,0,15,0,0,1
532,0,0,0,14,0,2,1
253,0,0,0,14,0,0,1
335,0,0,0,14,0,0,1
498,0,0,0,14,0,0,1
196,0,0,0,13,106,0,1
30,0,0,0,13,0,5,1
29,0,0,0,13,0,4,1
496,0,0,0,13,0,0,1
212,0,0,0,12,0,0,1
232,0,0,0,12,0,0,1
256,0,0,0,12,0,0,1
344,0,0,0,12,0,0,1
497,0,0,0,12,0,0,1
60,0,0,0,11,0,2,1
117,0,0,0,11,0,1,1
216,0,0,0,11,0,0,1
251,0,0,0,11,0,0,1
289,0,0,0,11,0,0,1
187,0,0,0,10,106,0,1
193,0,0,0,10,106,0,1
248,0,0,0,10,0,0,1
292,0,0,0,10,0,0,1
297,0,0,0,10,0,0,1
486,0,0,0,10,0,0,1
501,0,0,0,10,0,0,1
28,0,0,0,9,0,4,1
58,0,0,0,9,0,2,1
511,0,0,0,9,0,2,1
250,0,0,0,9,0,0,1
293,0,0,0,9,0,0,1
357,0,0,0,9,0,0,1
499,0,0,0,9,0,0,1
190,0,0,0,8,106,0,1
59,0,0,0,8,0,2,1
3,0,0,0,8,0,1,1
118,0,0,0,8,0,0,1
180,0,0,0,8,0,0,1
276,0,0,0,8,0,0,1
294,0,0,0,8,0,0,1
88,0,0,0,7,0,0,1
257,0,0,0,7,0,0,1
422,0,0,0,7,0,0,1
487,0,0,0,7,0,0,1
503,0,0,0,7,0,0,1
596,0,0,0,6,0,4,1
211,0,0,0,6,0,0,1
245,0,0,0,6,0,0,1
255,0,0,0,6,0,0,1
296,0,0,0,6,0,0,1
120,0,0,0,5,0,1,1
512,0,0,0,5,0,1,1
153,0,0,0,5,0,0,1
234,0,0,0,5,0,0,1
236,0,0,0,5,0,0,1
247,0,0,0,5,0,0,1
259,0,0,0,5,0,0,1
262,0,0,0,5,0,0,1
271,0,0,0,5,0,0,1
354,0,0,0,5,0,0,1
507,0,0,0,5,0,0,1
592,0,0,0,4,0,3,1
535,0,0,0,4,0,1,1
536,0,0,0,4,0,1,1
33,0,0,0,4,0,0,1
90,0,0,0,4,0,0,1
93,0,0,0,4,0,0,1
237,0,0,0,4,0,0,1
249,0,0,0,4,0,0,1
260,0,0,0,4,0,0,1
299,0,0,0,4,0,0,1
300,0,0,0,4,0,0,1
356,0,0,0,4,0,0,1
482,0,0,0,4,0,0,1
199,0,0,0,3,106,0,1
202,0,0,0,3,106,0,1
516,0,0,0,3,0,2,1
534,0,0,0,3,0,2,1
355,0,0,0,3,0,1,1
213,0,0,0,3,0,0,1
235,0,0,0,3,0,0,1
252,0,0,0,3,0,0,1
265,0,0,0,3,0,0,1
267,0,0,0,3,0,0,1
332,0,0,0,3,0,0,1
389,0,0,0,3,0,0,1
